smiles,docking_score,reference_id
Cc1csc(n1)CNC(=O)NCCC(c2ccccc2)c3ccccc3,-6.229,TRAIN_0071
C1CC1C(=O)Nc2ccc(cc2)CNC(=O)[C@@H](CO3)Oc(c34)cccc4,-6.227,TRAIN_0072
c1ccccc1-n(ncc2C)c2NC(=O)[C@@H](CO3)Cc(c34)cc(F)cc4,-6.224,TRAIN_0073
CCN(CC)C(=O)Cc1ccc(cc1)NC(=O)N2CC[C@@H](C(=O)O)[C@@H](C)C2,-6.206,TRAIN_0074
OCC(CC1)CCN1c2cc(C)c(C#N)c(n23)nc4c3cccc4,-6.182,TRAIN_0075
NC(=O)CC1CCN(CC1)C(=O)c(s2)c(Cl)c(c23)ccc(c3)C(F)(F)F,-6.179,TRAIN_0076
Cc1ccccc1NC(=O)c(cn2)c(=O)n(c23)cccc3,-6.164,TRAIN_0077
COc1ccc(cc1)CNC(=O)CNC(=O)[C@H](CCC2)c(c23)cn[nH]3,-6.158,TRAIN_0078
o1cccc1CNC(=O)CSc2ccccc2C(=O)Nc(cc3)cc(c34)CCC4,-6.156,TRAIN_0079
c1cccc(c12)nc(CC)cc2NC(=O)N3CC[C@@H](C3)[C@H]4CCOC4,-6.141,TRAIN_0080
c1ccc(C)c(c12)[nH]cc2CC(=O)NC[C@@H]3CCC[C@H]3O,-6.137,TRAIN_0081
c1cccn(c12)c(nn2)SCC(=O)Nc3ccccc3C(=O)Nc4ccccc4,-6.13,TRAIN_0082
FC(F)(F)[C@@H](C1)CCN1C(=O)c2ccc(cc2)-c3[nH]cnn3,-6.124,TRAIN_0083
CC(C)c1cc(n[nH]1)C(=O)NCc2ccnc(c2)-n3cccn3,-6.109,TRAIN_0084
CCOc1ccc(OCC)c(c1)NC(=O)c2ccc(cc2)Cn3cccn3,-6.106,TRAIN_0085
c1ccccc1[C@@H](N)CC(=O)Nc2cccc(c2)C(=O)N3CCCC3,-6.104,TRAIN_0086
Fc1ccccc1CN(C)C(=O)COc2cccc(c2)-n3cncn3,-6.089,TRAIN_0087
O=C(O)C[C@@H]1CN(CCO1)C(=O)c2ccn(n2)-c3cccc(Br)c3,-6.071,TRAIN_0088
COC[C@@]1(C(=O)O)CCCN(C1)C(=O)CCc2ccc(cc2)C(C)(C)C,-6.051,TRAIN_0089
NC(=O)c1ccccc1OCc2nc(no2)-c3ccc(Cl)cc3,-6.049,TRAIN_0090
O=c([nH]1)n(C)c(c12)cc(cc2)C(=O)N[C@H](CCC3)c(c34)[nH]nc4,-6.044,TRAIN_0091
c1cccc(c12)c(=O)nc([nH]2)CN(CC)CCS(=O)(=O)c3ccc(Cl)cc3,-6.034,TRAIN_0092
CC(C)(C)c1ncc(s1)C(=O)N2CCN(CC2)[C@@H]3CCC[C@H]3O,-6.03,TRAIN_0093
NC(=O)NC(=O)[C@H]1CC[C@@H](CC1)NC(=O)c(ncc2)c(c23)cccc3,-6.028,TRAIN_0094
s1ccn(c12)c(=O)c(cn2)C(=O)Nc(ccc3)c(c34)CCCC4,-6.021,TRAIN_0095
c1cc(C(=O)N)ccc1CN(CC)Cc(n2)[nH]c(=O)c(c23)cccc3,-6.018,TRAIN_0096
CN(C)C(=O)[C@H]1CC[C@@H](O1)CNC(=O)[C@@H](CO2)Oc(c23)cccc3,-6.017,TRAIN_0097
C1CCN(S1(=O)=O)[C@@H](C2)CCCN2C(=O)NCCc3cc(F)ccc3F,-6.007,TRAIN_0098
FC(F)(F)c1n[nH]c(c1C)CNC[C@@H](C2)Oc(c23)cccc3,-6.003,TRAIN_0099
s1ccc(c12)nc(n(c2=O)CC)SCc3cccc(F)c3,-5.996,TRAIN_0100
Cc1cccc(C)c1-n2nnnc2S[C@H](C)C(=O)NCc(cc3)cc(c34)OCO4,-5.995,TRAIN_0101
Cc1ccccc1OCC[S@](=O)Cc2coc(n2)-c3ccc(F)cc3,-5.982,TRAIN_0102
c1nccn1-c(c2)cccc2C(=O)Nc3[nH]nc(n3)-c4cccs4,-5.969,TRAIN_0103
c1ccc(C(=O)O)c(c12)CCN(C2)C(=O)c(ccc3)c(c34)OCCO4,-5.963,TRAIN_0104
c1cccc(c12)N(C(=O)CC2)CC(=O)N3CCC[C@H](C3)c4[nH]c(=O)[nH]n4,-5.962,TRAIN_0105
CCN(CC1)Cc(c12)c(ncn2)N3CC[C@@H](C3)c4ccc(cc4)OC,-5.948,TRAIN_0106
O1CCC[C@@H]1Cn(c2)ncc2NC(=O)CNC(=O)c3ccccc3C(F)(F)F,-5.935,TRAIN_0107
c1cc(C)cc(c12)[C@@H]([C@@H](C2)C)NC(=O)Cc3cccnc3,-5.932,TRAIN_0108
CCOc1ccc(cc1)C(=O)Nc(ccc2)c(c23)C(=O)NC3=O,-5.927,TRAIN_0109
C[C@@H]1CN(C[C@H](O1)C)c2ccc(cn2)CNC(=O)CCc3cccc(F)c3,-5.916,TRAIN_0110
Cc1ccccc1C(=O)NCC(=O)Nc2ccc(cc2)N3CCCC3=O,-5.911,TRAIN_0111
C1COCCN1c(nc2C)ccc2NC(=O)N[C@H](C)c3ccccn3,-5.896,TRAIN_0112
CS(=O)(=O)c(cc1)cc(c12)sc(n2)NC(=O)c3cc(n[nH]3)-c4ccccc4O,-5.895,TRAIN_0113
N#Cc(cn1)c(n12)nc(cc2O)CSc(ccn3)c(c34)cccc4,-5.895,TRAIN_0114
C1CC1NC(=O)[C@@H](C2)N([C@@H]([C@@H]23)CCO3)C(=O)CCc4ccc(Cl)c(F)c4,-5.882,TRAIN_0115
Cc(n1)oc(c12)ccc(c2)NC(=O)c3cc([nH]n3)-c4ccccc4Cl,-5.88,TRAIN_0116
C1CCCCC1N(C)C(=O)COc(ncn2)c(c23)cnn3-c4ccccc4,-5.878,TRAIN_0117
Cn1cc(c(n1)C(C)(C)C)CNc(cc2)cc(c23)[nH]c(o3)=O,-5.875,TRAIN_0118
O=C1NC(=O)N[C@]1(C)c2cccc(c2)-c3noc(n3)[C@H](C4)[C@]45c6c(CC5)cccc6,-5.853,TRAIN_0119
COc1ccc(cc1)[C@H](CO)N(C)C(=O)c([nH]n2)c(c23)CCCCC3,-5.85,TRAIN_0120
CCc1cnc(s1)N2CCN(CC2)c(cc3)nn(c34)c(nn4)C,-5.848,TRAIN_0121
COc(cc1)cc(c12)nc(cc2C)SCC(=O)N(C)C,-5.848,TRAIN_0122
